"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3HP62USS","book","2010","Chazan, Robert","Reassessing Jewish life in Medieval Europe","","9780521763042  0521763045  9780521145435  0521145430","","","","""This book re-evaluates the prevailing notion that Jews in medieval Christian Europe lived under an appalling regime of ecclesiastical limitation, governmental exploitation and expropriation, and unceasing popular violence. Robert Chazan argues that, while Jewish life in medieval Western Christendom was indeed beset with grave difficulties, it was nevertheless an environment rich in opportunities; the Jews of medieval Europe overcame obstacles, grew in number, explored innovative economic options, and fashioned enduring new forms of Jewish living. His research also provides a reconsideration of the legacy of medieval Jewish life, which is often depicted as equally destructive and projected as the underpinning of the twentieth-century catastrophes of antisemitism and the Holocaust. Dr Chazan's research proves that, although Jewish life in the medieval West laid the foundation for much Jewish suffering in the post-medieval world, it also stimulated considerable Jewish ingenuity, which lies at the root of impressive Jewish successes in the modern West""-- ""This book reevaluates the prevailing notion that Jews in medieval Christian Europe lived under an appalling regime of ecclesiastical limitation, governmental exploitation and expropriation, and unceasing popular violence. Robert Chazan argues that, while Jewish life in medieval Western Christendom was indeed beset with grave difficulties, it was nevertheless an environment rich in opportunities; the Jews of medieval Europe overcame obstacles, grew in number, explored innovative economic options, and fashioned enduring new forms of Jewish living. His research also provides a reconsideration of the legacy of medieval Jewish life, which is often depicted as wholly destructive and projected as the underpinning of the twentieth-century catastrophes of antisemitism and the Holocaust""--","2010","2015-02-17 15:54:53","2015-02-17 15:54:53","","","","","","","","","","","","","Cambridge University Press","New York","English","","","","","Open WorldCat","","","<p>Contextual resource, does not appear to deal with peddlers</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3M85H9ZR","document","2011","Choquet, Francois.; Gomet, Tess.; Arnon, Sara Miller.; Miller, Wendy.; Miller-Soros, Julie.; 3 Sisters Productions.","Legacy: The Levine family","","","","","","Everybody growing up in Central Maine knew the Levines, a large Jewish family that emigrated to Maine from Lithuania/Poland at the turn of the 20th century, and settled in Waterville, Maine. The family ran Levine's, the Store for Men and Boys, on Waterville's Main Street. A family reunion is the opportunity for this family to look back at its past and revisit the cultural values that have passed on through the generations, and the meaning of these ethics and values for today.","2011","2014-12-08 21:39:01","2015-04-08 15:34:29","","","","","","","","","","","","","3 Sisters Productions","","English","","","","","Open WorldCat","","","<p>This is a DVD video. There is barely any audiovisual material among the documents. Will need to decide if inclusion of this resource warrants a special PHP path for citation generator.</p> <p>Rules for citation are here: http://www.chicagomanualofstyle.org/16/ch14/ch14_sec274.html</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MXWPZVH","journalArticle","1994","Schwartz, Nancy F.; Lasky, Stanley","Jewish Cleveland before the Civil War","American Jewish History","","0164-0178","","http://search.proquest.com/docview/1296083591/677E76265832447EPQ/2?accountid=12768","","Jan 1, 1994","2014-04-07 20:04:44","2014-04-07 20:04:44","2014-04-07 20:04:44","","","1","82","","","","","","","","","","English","","","","","ProQuest","","","","","http://search.proquest.com/docview/1296083591/677E76265832447EPQ/2?accountid=12768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3PQP293E","journalArticle","1983","Aminoff, Helen","The First Jews of Ann Arbor","Michigan Jewish History","","05439833","","","Describes Jewish life in Ann Arbor during the 1840's-60's, emphasizing the activities of the Weil family.","1983-01","2014-02-10 19:41:40","2014-12-08 17:11:14","","3-14","","1","23","","Michigan Jewish History","","","","","","","","","","","","","EBSCOhost","","jp_cite_00040","","","http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=45946383&site=ehost-live&scope=cite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3PSWUI5X","document","","Cutler, Diane","A History of the Jews in Bangor, Maine","","","","","","","","2015-03-04 17:46:56","2015-04-08 17:04:01","","","","","","","","","","","","","","","","","","","Bangor Room, Bangor Public Library","","","jp_cite_00272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Q5EQ6FP","newspaperArticle","1966","Banulis, Mary","Beth Jacob Synagog Lewiston: 119th in a Series on Maine Churches","Lewiston Journal","","","","","","1966-03-19","2014-03-24 19:06:17","2014-12-09 21:38:49","","7-A","","","","","","","","","","","","Lewiston, Maine","","","","","","","","jp_cite_00077","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3U9HCZG9","book","1935","DuBois, Rachel Davis; Schweppe, Emma","The Jews in American life,","","","","","","","1935","2015-04-14 19:40:38","2015-04-14 19:41:16","","","","","","","","","","","","","T. Nelson and Sons","New York","English","","","","","Open WorldCat","","jp_cite_00298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UB87KZU","document","1980","Scheinberg, Ruth","The Pekl: Folk/Histories of Jewish Peddlers in the South, 1890-1914","","","","","","","1980-08","2014-02-18 22:47:56","2015-05-14 17:01:05","","","","","","","","","","","","","","","English","In-copyright","","Manuscript, Archives, and Rare Book Library, Emory University","Collection 49, Box 1, Folder 7, Manuscript, Archive, and Rare Book Library, Emory University","","","","<p>Very strong candidate. Contains handful of life stories. Contributing manuscript and oral history transcripts also present.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZAVEUNT","book","","Brinkmann, Tobias","Sundays at Sinai (Draft)","","","","","","","","2015-02-03 20:52:28","2015-02-03 20:53:33","","","","","","","","","","","","","","","","","","","","","","jp_cite_00186","<p><em>Sundays at Sinai </em>was published as a book in 2012. Look at published version and compare/use that as cataloging basis instead? Draft is Hasia's ""raw data"" but book would be what users would access for further research.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42RBXR32","book","1996","Sigel, Arnold; Bookin, Sam; Ullman, Bessie","Memories of Congregation B'nai Jacob, Ottumwa, Iowa","","","","","","","1996","2014-04-22 18:30:13","2014-04-22 18:30:37","","","","","","","","","","","","","","Ottumwa, Iowa","English","","","","","Open WorldCat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4394QC5R","journalArticle","1978","Schmier, Louis","The First Jews of Valdosta","Georgia Historical Quarterly","","00168297","","","Valdosta's first Jews, Abraham Ehrlich and Bernard Kaul, arrived in 1866, closely followed by some of Ehrlich's relatives. Although the number of Jews in Valdosta, Georgia, during this period was never greater than 17, they were very involved with business and town affairs. Business ventures as well as acceptance by and involvement in the gentile community, particularly by the Ehrlichs and the Engels, are detailed. Based on primary sources, mainly newspapers, legal records, and interviews; 63 notes.","Spring 1978","2014-04-07 18:08:02","2014-04-07 18:08:02","","32-49","","1","62","","Georgia Historical Quarterly","","","","","","","","","","","","","EBSCOhost","","","","","http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=45946855&site=ehost-live&scope=cite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43EFNGJC","book","1905","Adler, Elkan Nathan; Jewish Publication Society of America","Jews in many lands","","","","","","","1905","2014-03-04 20:51:47","2014-12-01 21:26:23","","","","","","","","","","","","","The Jewish Publication Society of America","Philadelphia","English","","","","","Open WorldCat","","jp_cite_00021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43XCW4ZT","journalArticle","1982","Rubenstein, Asa","Midwestern Jewish Commitment and Practical Idealism: The Early History of Sinai Temple, Champaign, Illinois","Journal of the Illinois State Historical Society","","15221067","","","Early Jewish immigrants to Champaign, attracted by economic opportunities among commercial grain farmers, had emigrated from Central Europe where their interaction with Gentile neighbors had prepared them for social, economic, cultural, and political participation in American communities. In the 1880's, Eastern European Orthodox Jewish immigrants remained separate from the Reform elite. In 1877, B'nai B'rith Prairie Lodge No. 281 was founded, while the Ladies' Hebrew Benevolent Society was established in 1889, and the Champaign-Urbana Hebrew Congregation was created in 1904. The local Jewish community consistently evidenced awareness of the need to serve Jewish faculty and students at the University of Illinois.","June 1982","2014-04-29 16:46:03","2014-04-29 16:46:03","","82-101","","2","75","","Journal of the Illinois State Historical Society","Midwestern Jewish Commitment and Practical Idealism","","","","","","","","","","","","EBSCOhost","","","","","http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=45750628&site=ehost-live&scope=cite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4452H8S7","book","1945","Federal Writers' Project.; Botkin, Benjamin Albert,","Lay my burden down; a folk history of slavery,","","","","","","","1945","2015-01-13 21:16:12","2015-01-13 21:47:41","","","","","","","","","","","","","University of Chicago Press","Chicago, Ill.","English","","","","","Open WorldCat","","jp_cite_00167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
