URI (Extra in Zotero),Subject Term 1,Subject Term 2,Subject Term 3,Subject Term 4,Subject Term 5,Subject Term 6,Subject Term 7,Subject Term 8,Subject Term 9,Subject Term 10,Geographic Subject 1,Geographic Subject 2,Geographic Subject 3,Geographic Subject 4,Geographic Subject 5,Geographic Subject 6,Geographic Subject 7,Geographic Subject 8,Geographic Subject 9,Geographic Subject 10,Geographic Subject 11,Geographic Subject 12,Geographic Subject 13,Geographic Subject 14,Geographic Subject 15,Geographic Subject 16,Geographic Subject 17,Geographic Subject 18,Geographic Subject 19,Geographic Subject 20,Geographic Subject 21,Geographic Subject 22,Geographic Subject 23,Geographic Subject 24,Geographic Subject 25,Geographic Subject 26,Geographic Subject 27,Geographic Subject 28,Geographic Subject 29,Geographic Subject 30,Geographic Subject 31,Geographic Subject 32,Geographic Subject 33,Geographic Subject 34,Geographic Subject 35,Geographic Subject 36,Peddler Name 1,Peddler Name 2,Peddler Name 3,Peddler Name 4,Peddler Name 5,Peddler Name 6,Peddler Name 7,Peddler Name 8,Peddler Name 9,Peddler Name 10,Peddler Name 11,Peddler Name 12,Peddler Name 13,Peddler Name 14,Peddler Name 15,Peddler Name 16,Peddler Name 17,Peddler Name 18,Peddler Name 19,Peddler Name 20,,,,,,,,,,,,,,,,Subject Date Span
jp_cite_00011,Additional Careers,Business Practices,Wares,,,,,,,,"Scranton, Pennsylvania",Lithuania,"New York, New York","Newark, New Jersey","Avoca, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cohen, Abraham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892-1920
jp_cite_00012,Business Practices,Conflict/Violence-Communal,Wares,,,,,,,,"Rio de Janeiro, Brazil",Uruguay,Argentina,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930-1941
jp_cite_00013,Wares,Family,Subsequent Commercial Careers,,,,,,,,Germany,"Penn Yan, New York","Waltsch, Austria","Rochester, New York","Minneapolis, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abeles, S.B.","Abeles, Joseph","Abeles, David C.","Abeles, Morris B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1882
jp_cite_00014,Additional Careers,Business Practices,Conflict/Violence-Personal,Family,,,,,,,"Cleveland, Ohio","Indianapolis, Indiana","Nashville, Tennessee","Evanston, Illinois","Saint Louis, Missouri","Louisville, Kentucky","Ogdensburg, New York","High Mount, New York","Griffins Corner, New York","Fleischmanns, New York","Dimick Corner, New York","Margaretsville, New York","Andes, New York","Bloomville, New York","Kortright, New York","Roxbury, New York","Middletown, New York","Batavia, New York","Halcott, New York","Roses Brook, New York","Hobart, New York","Stamford, New York","Prattsville, New York","Lexington, New York","Delhi, New York","Pine Hill, New York","Bovina, New York","Halcott, New York","Catskill Village, New York","Saint Lawrence County, New York","Sickenhofen, Germany","Frankfurt-am-Main, Germany","Mainz, Germany","Rotterdam, Netherlands","Le Havre, France","New York, New York","Frank, Isaac","Frank, Manasse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851-1909
jp_cite_00015,Business Practices,Cultural Exchange,,,,,,,,,"Paris, France","New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hirsch, Aaron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1870
jp_cite_00016,Subsequent Commercial Careers,Family,,,,,,,,,Russia,"Burlington, Vermont","New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mazel, Morris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1960
jp_cite_00017,Subsequent Non-commercial Careers,Sponsor,,,,,,,,,Germany,"Boston, Massachusetts","New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abrahamson, Abraham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1860
jp_cite_00018,Transportation,Wares,Family,Cultural Exchange,Religious Practices,,,,,,"Baisagala, Lithuania","Seduva, Lithuania","Memel, Lithuania","Hamburg, Germany","New York, New York","Georgia, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pearlman, David","Morris, Samuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884-1916
jp_cite_00019,Wares,,,,,,,,,,"Marmara, Turkey","Seattle, Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calvo, Solomo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903-1920
jp_cite_00020,Wares,,,,,,,,,,"Oklahoma, USA","Arkansas, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830-1839
jp_cite_00021,Contextual Resource,Wares,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1905
jp_cite_00022,Wares,Subsequent Non-commercial Careers,Religious Practice,Family,Transportation,Sponsor,Routes,,,,"Volkovisk, Lithuania","New York, New York","Buffalo, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayerberg, Jacob H.","Rubenstein, Louis","Cohn, Sholem",Levine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867-1900
jp_cite_00023,Victims of Crime,Wares,Sponsor,Routes,,,,,,,"Aurora, New York","Venice, New York","Auburn, New York","Syracuse, New York","Genoa, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adler, Nathan","Adler, Benjamin","Adler, Charles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848-1850
jp_cite_00024,Contextual Resource,,,,,,,,,,Bavaria,"Louisville, Kentucky","Ottumwa, Iowa","Saint Joseph, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Feinman, B.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1870
jp_cite_00025,Sponsor,Family,Transportation,Wares,Religious Practices,Subsequent Commercial Careers,,,,,"Buffalo, New York",Poland,Germany,"New York, New York","Philadelphia, Pennsylvania","Lipno, Poland","Alsace, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Phillips, Samuel","Kohn, Abraham","Bernstein, Aaron","Friedman, Moses","Gumbinsky, Louis","Haas, Abraham","Levi, David","Levi, Isaac","Levi, Moses","Wile, Mayer","Barman, Abraham M.","Weill, Henry",,,,,,,,,,,,,,,,,,,,,,,,1830-1900
jp_cite_00026,Literary or Artistic Depiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp_cite_00027,Subsequent Non-commercial Careers,,,,,,,,,,"Klodowa, Poland","New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lubin, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849-1920
jp_cite_00028,Wares,Bartering,,,,,,,,,"Swislocz, Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp_cite_00029,Anti-Semitic Rhetoric,Subsequent Commercial Careers,Victims of Crime,,,,,,,,Curacao,"Coro, Venezuela","Caracas, Venezuela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nunez, Miguel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824-1900
jp_cite_00030,Restrictions on Itinerant Commerce,Subsequent Commercial Careers,Religious Practice,,,,,,,,"Glamorganshire, United Kingdom","Monmothshire, United Kingdom",Poland,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700-1850
jp_cite_00031,Victims of Crime,Subsequent Commercial Careers,Transportation,,,,,,,,Poland,"Aiken, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surasky, Solomon","Surasky, Sam","Surasky, Abraham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1920
jp_cite_00032,Literary or Artistic Depiction,Wares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1900
jp_cite_00033,Literary or Artistic Depiction,Wares,,,,,,,,,"Leszno, Poland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1900
jp_cite_00034,Subsequent Commercial Careers,,,,,,,,,,"Hesse-Darmstadt, Germany","New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heidenheim, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826-1890
jp_cite_00035,Subsequent Commercial Careers,Wares,Transportation,Cultural Exchange,,,,,,,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp_cite_00036,Non-peddling Background,Subsequent Commercial Careers,Transportation,Routes,Bartering,Wares,,,,,"Viliya, Ukraine","Boston, Massachusetts","Dauhinava, Belarus","Bangor, Maine","Duni?owicze, Belarus","Sangerville, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alperowitz, Simon (Shimsel)","Cohen, Nathan","Cohen, Samuel","Cohen, Max","Cohen, Jacob","Epstein, Hyman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1925
jp_cite_00037,Wares,Contextual Resource,,,,,,,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1914
jp_cite_00038,Contextual Resource,Wares,,,,,,,,,"Paderborn, Germany","Westphalia, Germany","Waldeck, Germany","Beverungen, Germany","Hesse, Germany","Cologne, Germany","Brunswick, Germany","Lueneburg, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650-1750
jp_cite_00039,Subsequent Commercial Careers,,,,,,,,,,"New York, New York","Memmelsdorf, Bavaria","Jackson County, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fleishman, Samuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1913
jp_cite_00040,Non-peddling Background,Bartering,Subsequent Commercial Careers,,,,,,,,"Ann Arbor, Michigan","Bohumilice, Czech Republic","Chicago, Illinois","Newark, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weil, Jacob","Weil, Marcus","Weil, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777-1905
jp_cite_00041,Religious Practices,,,,,,,,,,"Toledo, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kraus, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868-1876
jp_cite_00042,Contextual Resource,,,,,,,,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851-1941
jp_cite_00043,Contextual Resource,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915-1929
jp_cite_00044,Peddling Background,,,,,,,,,,"Rhodes, Greece",United States of America,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1920
jp_cite_00045,Sponsor,Transportation,Subsequent Commercial Careers,Cultural Exchange,,,,,,,"Plock, Poland","Chatham, Ontario","Detroit, Michigan","East Tawas, Michigan","Pinconning, Michigan","Tukums, Latvia","Bay City, Michigan","West Branch, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landsberg, Louis","Blumenau, Albert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1920
jp_cite_00046,Wares,Routes,Sponsor,,,,,,,,"Newberry, Michigan","New York, New York","Syracuse, New York",Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1910
jp_cite_00047,Cultural Exchange,Anti-Semitic Rhetoric,Wares,Restrictions on Itinerant Commerce,,,,,,,Jamaica,Suriname,Curacao,Barbados,Nevis,Venezuela,Colombia,Dominican Republic,Panama,Costa Rica,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700-1930
jp_cite_00048,Peddling Background,Sponsor,Wares,Transportation,Subsequent Commercial Careers,Anti-Semitic Rhetoric,,,,,Lithuania,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1920
jp_cite_00049,Sponsor,Transportation,Wares,Subsequent Commercial Careers,,,,,,,Lithuania,England,Cape Colony,"Transvaal, South Africa","Sheffield, United Kingdom","Kimberley, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marks, Samuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1920
jp_cite_00050,Wares,Family,Cultural Exchange,Subsequent Commercial Careers,Anti-Semitic Rhetoric,,,,,,"Kaunas, Lithuania","Vilnius, Lithuania","Grodno, Belarus","Suwalki, Poland","Vitebsk, Belarus","Minsk, Belarus","Mogilev, Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1930
jp_cite_00051,Transportation,Subsequent Commercial Careers,,,,,,,,,"KwaZulu-Natal, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marks, Samual","Cohen, Isadore","Press, Philip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820-1935
jp_cite_00052,Sponsor,Family,Wares,,,,,,,,Lithuania,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800-1950
jp_cite_00053,Anti-Semitic Rhetoric,Subsequent Commercial Careers,,,,,,,,,"Winnipeg, Manitoba","Calgary, Alberta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1900
jp_cite_00054,Subsequent Non-commercial Careers,Subsequent Commercial Careers,,,,,,,,,"Winnipeg, Manitoba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goldstein, Reuben",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874-1882
jp_cite_00055,Cultural Exchange,Restrictions on Itinerant Commerce,Routes,Subsequent Commercial Careers,,,,,,,"Vilnius, Lithuania","Boston, Massachusetts","Dexter, Maine","Waterville, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Levine, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882-1915
jp_cite_00056,Transportation,Restrictions on Itinerant Commerce,Routes,Cultural Exchange,Subsequent Commercial Careers,,,,,,"Vilnius, Lithuania","Waterville, Maine","New York, New York","Boston, Massachusetts","Portland, Maine","Augusta, Maine","Monson, Maine","Strong, Maine","Kingsfield, Maine","Dexter, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,"Levine, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1895
jp_cite_00057,Subsequent Commercial Careers,Family,,,,,,,,,"Bayersdorf, Germany","Selma, Alabama","New York, New York",Pennsylvania,"Watertown, New York","San Francisco, California",,"Montgomery, Alabama","Mobile, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seligman, Joseph","Lehman, Henry","Seligman, James","Seligman, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837-1870
jp_cite_00058,Wares,Routes,Sponsor,Transportation,Subsequent Commercial Careers,Anti-Semitic Rhetoric,Restrictions on Itinerant Commerce,,,,"New Orleans, Louisiana",Mississippi,Texas,Arkansas,"San Francisco, California","New York, New York","Mobile, Alabama","Shreveport, Louisiana","Baton Rouge, Louisiana","Donaldsonville, Louisiana","Clinton, Louisiana","Port Hudson, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,"Bloom, Lazarus","Bloom, Leon","Lehmann, Abraham","Meyer, Emanuel","Goldsmith, Lewis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830-1870
jp_cite_00059,Subsequent Non-commercial Careers,,,,,,,,,,"Vlotslavek, Poland","Sao Paolo, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kucinski, Meir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904-1950
jp_cite_00060,Literary or Artistic Depiction,,,,,,,,,,Besarabia,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1920
jp_cite_00061,Literary or Artistic Depiction,,,,,,,,,,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1930
jp_cite_00062,Literary or Artistic Depiction,,,,,,,,,,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910-1930
jp_cite_00063,Transportation,Subsequent Commercial Careers,Wares,,,,,,,,"San Antonio, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910-1930
jp_cite_00064,Contextual Resource,,,,,,,,,,"Jackson, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820-1830
jp_cite_00065,Contextual Resource,Transportation,,,,,,,,,"Saint Louis, Missouri","Chicago, Illinois",Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820-1900
jp_cite_00066,Contextual Resource,Restrictions on Itinerant Commerce,Transportation,Routes,,,,,,,Alabama,Mississippi,Georgia,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1799-1860
jp_cite_00067,Subsequent Commercial Careers,Cultural Exchange,Sponsor,,,,,,,,Argentina,North Africa,Turkey,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896-1914
jp_cite_00068,Wares,,,,,,,,,,Russia,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895
jp_cite_00069,Transportation,Wares,Family,Bartering,Religious Practices,Subsequent Non-commercial Careers,Cultural Exchange,Subsequent Commercial Careers,,,"Saint John, New Brunswick","Halifax, Nova Scotia",Belarus,"Digby, Nova Scotia","Fredericton, New Brunswick","Doakton, New Brunswick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vanger, Max","Vanger, Meyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916-1920
jp_cite_00070,Sponsor,,,,,,,,,,"Portland, Maine",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1891
jp_cite_00071,Wares,,,,,,,,,,"Lengnau, Switzerland","Philadelphia, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guggenheim, Meyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847-1880
jp_cite_00072,Contextual Resource,,,,,,,,,,Netherlands,Belgium,Germany,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600-1800
jp_cite_00073,Restrictions on Itinerant Commerce,Anti-Semitic Rhetoric,Wares,,,,,,,,"Aalborg, Denmark","Aarhus, Denmark","Odense, Denmark","Vitborg, Denmark",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600-1789
jp_cite_00074,Routes,Wares,Bartering,Subsequent Commercial Careers,Cultural Exchange,,,,,,Poland,Lithuania,"Portland, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1910
jp_cite_00075,Wares,,,,,,,,,,"Springfield, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Webber, Charles","Cohen, Isidore","Alpert, Louis","Cohen, Philip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1890
jp_cite_00076,Wares,Family,Transportation,Routes,Religious Practices,Subsequent Commercial Careers,,,,,Oregon,Russia,"Chicago, Illinois",Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Horowitz, Morris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1910
jp_cite_00077,Routes,Subsequent Commercial Careers,,,,,,,,,Germany,Austria,Russia,Lithuania,"Lewiston, Maine","Bangor, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Markson, Abraham","Lempert, H.M.","Berman, Herman","Brownstein, Jacob","Brownstein, Michael","Epstein, Samuel","Mendelson, Max","Rosenbloom, Myer","Shapiro, Abraham",,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1907
jp_cite_00078,Sponsor,Wares,Subsequent Commercial Careers,Routes,Transportation,,,,,,"Worms, Germany","New York, New York","Chicago, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spiegel, Marcus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829-1865
jp_cite_00079,Subsequent Commercial Careers,Subsequent Non-commercial Careers,Wares,,,,,,,,"Poznan, Poland",Bavaria,Wurttemberg,Western Prussia,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800-1871
