Extra,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Subject Term 1,Subject Term 2,Subject Term 3,Subject Term 4,Subject Term 5,Subject Term 6,Subject Term 7,Subject Term 8,Subject Term 9,Subject Term 10,Geographic Subject 1,Geographic Subject 2,Geographic Subject 3,Geographic Subject 4,Geographic Subject 5,Geographic Subject 6,Geographic Subject 7,Geographic Subject 8,Geographic Subject 9,Geographic Subject 10,Geographic Subject 11,Geographic Subject 12,Geographic Subject 13,Geographic Subject 14,Geographic Subject 15,Geographic Subject 16,Geographic Subject 17,Geographic Subject 18,Geographic Subject 19,Geographic Subject 20,Geographic Subject 21,Geographic Subject 22,Geographic Subject 23,Geographic Subject 24,Geographic Subject 25,Geographic Subject 26,Geographic Subject 27,Geographic Subject 28,Geographic Subject 29,Geographic Subject 30,Geographic Subject 31,Geographic Subject 32,Geographic Subject 33,Geographic Subject 34,Geographic Subject 35,Geographic Subject 36,Peddler Name 1,Peddler Name 2,Peddler Name 3,Peddler Name 4,Peddler Name 5,Peddler Name 6,Peddler Name 7,Peddler Name 8,Peddler Name 9,Peddler Name 10,Peddler Name 11,Peddler Name 12,Peddler Name 13,Peddler Name 14,Peddler Name 15,Peddler Name 16,Peddler Name 17,Peddler Name 18,Peddler Name 19,Peddler Name 20,Subject Date Span,geom
,3HP62USS,book,2010,"Chazan, Robert",Reassessing Jewish life in Medieval Europe,,9780521763042  0521763045  9780521145435  0521145430,,,,"""This book re-evaluates the prevailing notion that Jews in medieval Christian Europe lived under an appalling regime of ecclesiastical limitation, governmental exploitation and expropriation, and unceasing popular violence. Robert Chazan argues that, while Jewish life in medieval Western Christendom was indeed beset with grave difficulties, it was nevertheless an environment rich in opportunities; the Jews of medieval Europe overcame obstacles, grew in number, explored innovative economic options, and fashioned enduring new forms of Jewish living. His research also provides a reconsideration of the legacy of medieval Jewish life, which is often depicted as equally destructive and projected as the underpinning of the twentieth-century catastrophes of antisemitism and the Holocaust. Dr Chazan's research proves that, although Jewish life in the medieval West laid the foundation for much Jewish suffering in the post-medieval world, it also stimulated considerable Jewish ingenuity, which lies at the root of impressive Jewish successes in the modern West""-- ""This book reevaluates the prevailing notion that Jews in medieval Christian Europe lived under an appalling regime of ecclesiastical limitation, governmental exploitation and expropriation, and unceasing popular violence. Robert Chazan argues that, while Jewish life in medieval Western Christendom was indeed beset with grave difficulties, it was nevertheless an environment rich in opportunities; the Jews of medieval Europe overcame obstacles, grew in number, explored innovative economic options, and fashioned enduring new forms of Jewish living. His research also provides a reconsideration of the legacy of medieval Jewish life, which is often depicted as wholly destructive and projected as the underpinning of the twentieth-century catastrophes of antisemitism and the Holocaust""--",2010,2/17/2015 15:54:53,2/17/2015 15:54:53,,,,,,,,,,,,,Cambridge University Press,New York,English,,,,,Open WorldCat,,"<p>Contextual resource, does not appear to deal with peddlers</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3M85H9ZR,document,2011,"Choquet, Francois.; Gomet, Tess.; Arnon, Sara Miller.; Miller, Wendy.; Miller-Soros, Julie.; 3 Sisters Productions.",Legacy: The Levine family,,,,,,"Everybody growing up in Central Maine knew the Levines, a large Jewish family that emigrated to Maine from Lithuania/Poland at the turn of the 20th century, and settled in Waterville, Maine. The family ran Levine's, the Store for Men and Boys, on Waterville's Main Street. A family reunion is the opportunity for this family to look back at its past and revisit the cultural values that have passed on through the generations, and the meaning of these ethics and values for today.",2011,12/8/2014 21:39:01,4/8/2015 15:34:29,,,,,,,,,,,,,3 Sisters Productions,,English,,,,,Open WorldCat,,<p>This is a DVD video. There is barely any audiovisual material among the documents. Will need to decide if inclusion of this resource warrants a special PHP path for citation generator.</p> <p>Rules for citation are here: http://www.chicagomanualofstyle.org/16/ch14/ch14_sec274.html</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3MXWPZVH,journalArticle,1994,"Schwartz, Nancy F.; Lasky, Stanley",Jewish Cleveland before the Civil War,American Jewish History,,0164-0178,,http://search.proquest.com/docview/1296083591/677E76265832447EPQ/2?accountid=12768,,1/1/1994,4/7/2014 20:04:44,4/7/2014 20:04:44,4/7/2014 20:04:44,,,1,82,,,,,,,,,,English,,,,,ProQuest,,,,http://search.proquest.com/docview/1296083591/677E76265832447EPQ/2?accountid=12768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3UB87KZU,document,1980,"Scheinberg, Ruth","The Pekl: Folk/Histories of Jewish Peddlers in the South, 1890-1914",,,,,,,8/1/1980,2/18/2014 22:47:56,5/14/2015 17:01:05,,,,,,,,,,,,,,,English,In-copyright,,"Manuscript, Archives, and Rare Book Library, Emory University","Collection 49, Box 1, Folder 7, Manuscript, Archive, and Rare Book Library, Emory University",,,<p>Very strong candidate. Contains handful of life stories. Contributing manuscript and oral history transcripts also present.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42RBXR32,book,1996,"Sigel, Arnold; Bookin, Sam; Ullman, Bessie","Memories of Congregation B'nai Jacob, Ottumwa, Iowa",,,,,,,1996,4/22/2014 18:30:13,4/22/2014 18:30:37,,,,,,,,,,,,,,"Ottumwa, Iowa",English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4394QC5R,journalArticle,1978,"Schmier, Louis",The First Jews of Valdosta,Georgia Historical Quarterly,,168297,,,"Valdosta's first Jews, Abraham Ehrlich and Bernard Kaul, arrived in 1866, closely followed by some of Ehrlich's relatives. Although the number of Jews in Valdosta, Georgia, during this period was never greater than 17, they were very involved with business and town affairs. Business ventures as well as acceptance by and involvement in the gentile community, particularly by the Ehrlichs and the Engels, are detailed. Based on primary sources, mainly newspapers, legal records, and interviews; 63 notes.",Spring 1978,4/7/2014 18:08:02,4/7/2014 18:08:02,,32-49,,1,62,,Georgia Historical Quarterly,,,,,,,,,,,,,EBSCOhost,,,,http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=45946855&site=ehost-live&scope=cite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43XCW4ZT,journalArticle,1982,"Rubenstein, Asa","Midwestern Jewish Commitment and Practical Idealism: The Early History of Sinai Temple, Champaign, Illinois",Journal of the Illinois State Historical Society,,15221067,,,"Early Jewish immigrants to Champaign, attracted by economic opportunities among commercial grain farmers, had emigrated from Central Europe where their interaction with Gentile neighbors had prepared them for social, economic, cultural, and political participation in American communities. In the 1880's, Eastern European Orthodox Jewish immigrants remained separate from the Reform elite. In 1877, B'nai B'rith Prairie Lodge No. 281 was founded, while the Ladies' Hebrew Benevolent Society was established in 1889, and the Champaign-Urbana Hebrew Congregation was created in 1904. The local Jewish community consistently evidenced awareness of the need to serve Jewish faculty and students at the University of Illinois.",6/1/1982,4/29/2014 16:46:03,4/29/2014 16:46:03,,82-101,,2,75,,Journal of the Illinois State Historical Society,Midwestern Jewish Commitment and Practical Idealism,,,,,,,,,,,,EBSCOhost,,,,http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=45750628&site=ehost-live&scope=cite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,474W9PQQ,book,,Shenderay,,,,,,,,,4/14/2014 21:08:25,4/14/2014 21:08:39,,,,,,,,,,,,,,,,,,,,,,<p>In Yiddish? I cannot read. Could be copy of Sendery piece re Chile?</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4BA4ZAZK,journalArticle,1928,"Dubnov, S.",What is Missing in our Economic History,"Shriftn far Economic un Statistic, ed. Jacob Leschintsky",,,,,,1928,5/21/2015 17:34:09,5/21/2015 17:37:58,,180-183,,,I,,,,,,,,,,Yiddish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4BVDXWAF,journalArticle,1988,"Shulman, Ned",1760-1918: A History of the Early Jewish Community of Allentown: With Emphasis on the History of the Jews of the Sixth ward,Proceedings of the Lehigh County Historical Society,,,,,,1988,4/22/2014 17:25:31,7/9/2014 15:53:11,,121-150,,,,,,,,,,,,,,,,,,,,<p>unclear extent to which it has info on peddlers</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4P53GTBX,journalArticle,1980,"Shain, Milton",New Light on the Cape Immigration Act of 1902,Jewish Affairs,,,,,,2/1/1980,4/14/2014 20:58:50,4/14/2014 20:59:47,,,,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4REES4XG,journalArticle,2003,"Shevitz, Amy Hill","Richest and Best/Is the Wine of the West"": The Ohio River Valley and the Jewish Frontier",Ohio History,,300934,,,"Though settled by 1830, the Ohio River Valley was just then becoming a frontier for Jewish immigrants at the time. Occupations such as peddling had previously brought some Jews to the region, but few settled there. Only after the establishment of cities, particularly Cincinnati, did many Jews find an environment suitable for a commercial and community base. These fast-developing market economies resulted in a greater acceptance of Jewish merchants as business and civic allies. Rabbi Isaac Mayer Wise, a prominent leader of this newfound community, believed American Jews should see themselves in a new light, and he introduced reform to Judaism in an effort to present it as an American religion.",12/1/2003,4/22/2014 15:21:07,4/22/2014 15:21:07,,1,,Wint,112,,Ohio History,"Richest and Best/Is the Wine of the West""",,,,,,,,,,,,EBSCOhost,,,,http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=47294548&site=ehost-live&scope=cite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4UKZXVQP,bookSection,1979,"Schmier, Louis",Hellooo! Peddlerman! Hellooo!,Ethnic minorities in Gulf Coast society,,,,,,1979,4/7/2014 18:14:28,4/7/2014 18:19:01,,,,,,,,,,,,,Gulf Coast History and Humanities Conference,Pensacola,English,,,,,Open WorldCat,,,,,,,"Shofner, Jerrell H; Ellsworth, Linda V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54Q2QRAK,document,1982,"Segal, Robert",Robert E. Segal questionnaire,,,,,,,4/25/1982,4/14/2014 19:21:59,5/14/2015 17:02:42,,,,,,,,,,,,,,,,,,,"SC 11149, American Jewish Archives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,558DQ522,book,1988,"Shaff, Howard; Shaff, Audrey Karl",Paving the way: the life of Morris E. Adelstein,,0932195024 9780932195029 0932195032 9780932195036,,,,,1988,4/14/2014 19:54:23,4/14/2014 19:54:23,,,,,,,,Paving the way,,,,,Permelia Pub.,"Keystone, SD",English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5977Q5R3,book,1990,"Dowd, James; O'Carroll, Cian",Dowd's history of Limerick,,086278221X  9780862782214,,,,,1990,5/21/2015 16:35:21,5/21/2015 16:35:21,,,,,,,,,,,,,O'Brien,Dublin,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5FP25QI8,journalArticle,1973,"Rutland, Susan","Jewish Immigration to New Sout Wales, 1919-1939",Australian Jewish Historical Society Journal and Proceedings,,,,,,1973,4/7/2014 21:40:16,4/7/2014 21:42:06,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5G52Q7SP,journalArticle,1977,"Einfuss, Jossel",My Bobbe ran a boarding house in Port Lipschitz,Jewish Affairs,,,,,,10/1/1977,5/21/2015 22:08:46,5/21/2015 22:19:58,,13-16,,10,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5QBNHQH9,journalArticle,1984,"Shain, Milton","From Pariah to Parvenu: The Anti-Jewish Stereotype in South Africa, 1880-1910",Jewish Journal of Sociology,,,,,,1984,4/14/2014 20:48:28,4/14/2014 20:49:46,,111-127,,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5SDPI4ZM,book,1987,"Sherman, Joseph",From a land far off: South African Yiddish stories in English translation,,0799210803 9780799210804,,,,,1987,4/22/2014 14:31:06,4/22/2014 14:31:06,,,,,,,,From a land far off,,,,,"Jewish Publications, South Africa",Cape Town,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5SGAHWHV,book,1974,"דייוויס, דוד",אין גאנג פון די יאָרן: זכרונות פון ביידע זייטן ים,,,,,,,1974,3/10/2015 18:37:31,3/10/2015 18:37:31,,,,,,,,אין גאנג פון די יאָרן,,,,,ניי לעבן,תל־אביב,Yiddish,,,,,Open WorldCat,,<p>David Davis - In gang fun di yorn : zikhroynes̀ fun beyde zayṭn yam</p> <p>&nbsp;</p> <p>Unclear if this is peddler related. Profession information in H.D.'s notes suggest Davis was sweatshop worker.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65MBKHJ3,book,1970,"Silverman, Morris","Hartford Jews, 1659-1970.",,,,,,,1970,4/28/2014 20:53:27,4/28/2014 20:53:27,,,,,,,,,,,,,Connecticut Historical Society,Hartford,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
