Key	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body
I2RG3A3B	bookSection	1999	"Schmier, Louis"	"For Him, The ""Schwartzers"" Couldn't Do Enough: A Jewish Peddler and His Black Customers Look at Each Other"	Strangers & neighbors: relations between Blacks & Jews in the United States	1558492356  9781558492356  1558492364  9781558492363					1999	3/4/2014 20:08	2/2/2015 17:33													University of Massachusetts Press	Amherst	English					Open WorldCat		jp_cite_00018						"Adams, Maurianne; Bracey, John H"																																													
KIRK4EX3	thesis	1939	"Adatto, Albert"	Sephardim and the Seattle Sephardic Community							1939	3/4/2014 20:49	12/1/2014 21:12														University of Washington	English							jp_cite_00019																																																			
XKHHBG57	book	1941	"Adler, Cyrus"	"I have considered the days,"							1941	2/18/2014 22:28	12/1/2014 21:21													Jewish Publication Society of America	Philadelphia	English					Open WorldCat		jp_cite_00020																																																			
43EFNGJC	book	1905	"Adler, Elkan Nathan; Jewish Publication Society of America"	Jews in many lands							1905	3/4/2014 20:51	12/1/2014 21:26													The Jewish Publication Society of America	Philadelphia	English					Open WorldCat		jp_cite_00021																																																			
N64G2UBI	journalArticle	1966	"Adler, Della Rubinstein"	Immigrants in Buffalo	American Jewish Archives				http://americanjewisharchives.org/publications/journal/PDF/1966_18_01_00_doc_adler.pdf		1966-04	3/4/2014 20:53	12/1/2014 22:09				1	18										English							jp_cite_00022																																																			
7R5X72W2	book	1850		"Particulars of the murder of Nathan Adler: on the night of November sixth, 1849 in Venice, Cayuga County, N.Y. : including the whole testimony taken by the coroner and the inquisition and arrest of the three Bahams."							1850	3/4/2014 20:58	12/1/2014 22:18								Particulars of the murder of Nathan Adler					Finn & Rockwell	"Auburn, N.Y."	English					Open WorldCat		jp_cite_00023																																																			
VUWFMA6W	book	1972	"Adler, Frank J"	"Roots in a moving stream; the centennial history of Congregation B'nai Jehudah of Kansas City, 1870-1970"							1972	3/4/2014 21:16	12/1/2014 22:44													"The Temple, Congregation B'nai Jehudah"	"Kansas City, Mo."	English					Open WorldCat		jp_cite_00024																																																			
PNUC9EPX	book	1960	"Adler, Selig; Connolly, Thomas Edmund"	"From Ararat to suburbia; the history of the Jewish community of Buffalo,"							1960	2/18/2014 22:52	12/2/2014 15:55													Jewish Publication Society of America	Philadelphia	English					Open WorldCat		jp_cite_00025																																																			
CENCIINE	webpage	1966	"Agnon, Shmuel Yosef"	Three Stories: The Lady and the Peddler					https://www.commentarymagazine.com/articles/three-stories-the-lady-and-the-peddler/		1966-12	3/4/2014 21:17	12/8/2014 17:04	3/4/2014 21:17							Commentary Magazine														jp_cite_00026																																																			
IS8V87NW	book	1922	"Agresti, Olivia Rossetti"	"David Lubin; a study in practical idealism,"							1922	3/4/2014 21:28	12/2/2014 16:37													"Little, Brown"	Boston	English					Open WorldCat		jp_cite_00027																																																			
I2T5UW5V	journalArticle	1949	"Ain, Abraham"	Swizlocz: Portrait of a Jewish Community in Eastern Europe	YIVO Annual of Jewish Social Science						1949	3/4/2014 21:29	12/2/2014 16:48					4																	jp_cite_00028																																																			
PCE6SS2E	book	1983	"Aizenberg, Isidoro"	"La Comunidad judía de Coro, 1824-1900: una historia"							1983	3/9/2014 18:43	12/2/2014 16:56								"La Comunidad judía de Coro, 1824-1900"					Biblioteca de Autores y Temas Falconianos	Caracas	Spanish					Open WorldCat		jp_cite_00029																																																			
QPFVEZNZ	book	1992	"Alderman, Geoffrey"	Modern British Jewry		0198201451 9780198201458					1992	3/9/2014 18:44	12/2/2014 17:03													Clarendon Press ; Oxford University Press	Oxford [England]; New York	English					Open WorldCat		jp_cite_00030																																																			
6R4JGBIZ	document		"Tropp, Mina"	Aiken Materials - Photocopies from Winthop U Archives								3/9/2014 18:52	12/2/2014 17:32																			"Aiken Materials - Winthrop University Archives, Jewish Heritage Collection Vertical Files, College of Charleston"			jp_cite_00031																																																			
ISH3NIHW	bookSection	1945		Passover in a Village	"Yisröel, the Jewish omnibus,"						1945	3/9/2014 19:11	12/2/2014 20:29													J. Clarke	London	English					Open WorldCat		jp_cite_00032						"Leftwich, Joseph; Aleichem, Shalom"																																													
GAVGG46B	bookSection	1945		A Share in the Hereafter	"Yisröel, the Jewish omnibus,"						1945	12/2/2014 21:09	12/2/2014 21:09													J. Clarke	London	English					Open WorldCat		jp_cite_00033						"Leftwich, Joseph; Nordau, Max"																																													
G65WMKWR	book	2001	"Alexander, Daniel Bernard"	Congregation Gates of Prayer: 150 years of service to the Jewish community						"""A narrative account of the history of Congregation Gates of Prayer from a humble beginning in 1850 to its development as a viable and active congregation ascribing to the principles of the American Reform Jewish movement. One hundred and fifty years have passed since formation of the congregation in Faubourg Lafayette. Later it moved to a more up-to-date facility on Napoleon Avenue, and, in 1974, it constructed an enlarged religious complex on West Esplanade Avenue in Metairie, Louisiana.""--Foreword, p. 5."	2001	3/9/2014 19:12	12/2/2014 21:14								Congregation Gates of Prayer					Congregation Gates of Prayer	"Metairie, La."	English					Open WorldCat		jp_cite_00034																																																			
IWTNVEJZ	journalArticle	1990	"Alexander, Irving"	Jewish Merchants in the Coalfields							Spring 1990	3/9/2014 19:23	12/2/2014 21:17				1	16																	jp_cite_00035																																																			
WI38AE8K	book	1990	"Alpert, Jordan"	"The Alperts and Cohens of Bangor, Maine"							1990	3/9/2014 19:26	12/2/2014 22:02													Jordan S. Alpert	San Francisco								jp_cite_00036																																																			
U6P4PVQ9	journalArticle	2006	"Alroey, Gur"	"""And I Remained Alone in a Vast Land"": Women in the Jewish Migration from Eastern Europe"	Jewish Social Studies				http://www.jstor.org/stable/4467746	"Jewish emigration from Eastern Europe to lands overseas from the start of the twentieth century until the outbreak of World War I encompassed more than 1.5 million Jews seeking to flee the unbearable socioeconomic conditions that were their lot in the Russian Empire. Hundreds of thousands of these migrants were women and children who left to join their husbands and fathers already in the destination countries. This article traces the multifaceted migration process undergone by the Jewish immigrant woman-from her role in the decision-making process about where to move, to that fateful moment when she receives the tickets for the voyage from her husband and sets out on her way."	1-Apr-06	2/24/2014 18:04	12/8/2014 16:13	2/24/2014 18:04	39-72		3	12		Jewish Social Studies	"""And I Remained Alone in a Vast Land"""								Copyright © 2006 Indiana University Press				JSTOR		jp_cite_00037		C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\RSQNCXDM\Alroey - 2006 - And I Remained Alone in a Vast Land Women in th.pdf																																																	
W56KMWGU	journalArticle	1943	"Altmann, Berthold"	Jews and the Rise of Capitalism: Economic Theory and Practice in a Westphalian Community	Jewish Social Studies				http://www.jstor.org/stable/4464497		1-Apr-43	2/24/2014 19:02	12/8/2014 16:28	2/24/2014 19:02	163-186		2	5		Jewish Social Studies	Jews and the Rise of Capitalism								Copyright © 1943 Indiana University Press				JSTOR		jp_cite_00038		C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\VF3DGW3A\Altmann - 1943 - Jews and the Rise of Capitalism Economic Theory a.pdf																																																	
36QZMBDV	webpage	2013	"Abrams, Jeanne"	Benjamin Altman	"Immigrant Entrepreneurship: German-American Business Biographies, 1720 to the Present"				http://www.immigrantentrepreneurship.org/entry.php?rec=90	"Benjamin Altman founder of B. Altman & Company, A New York City department store."	2013 November 14	3/9/2014 19:33	12/8/2014 17:04	3/9/2014 19:33														en-US	German Historical Institute						jp_cite_00039		C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\KXBNHTRH\entry.html																																																	
3PQP293E	journalArticle	1983	"Aminoff, Helen"	The First Jews of Ann Arbor	Michigan Jewish History		5439833			"Describes Jewish life in Ann Arbor during the 1840's-60's, emphasizing the activities of the Weil family."	1983-01	2/10/2014 19:41	12/8/2014 17:11		14-Mar		1	23		Michigan Jewish History													EBSCOhost		jp_cite_00040			http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=45946383&site=ehost-live&scope=cite																																																
8JQTUCBP	journalArticle	1977	"Anderson, Elaine"	William Kraus and the Jewish Community	Northwest Ohio Quarterly		293407			"Chronicles the demise of William Kraus, a leading member of the Jewish community in Toledo, Ohio, during 1869-76. A few unpopular acts during his administration as the city's mayor, compounded by the closing of his bank, and shady real estate dealings, led to his exile in Canada."	Jun-77	3/9/2014 19:34	12/8/2014 17:26		127-162		4	49		Northwest Ohio Quarterly													EBSCOhost		jp_cite_00041			http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=45947399&site=ehost-live&scope=cite																																																
BNVHZHKE	book	1941	"Andrade, Jacob A. P. M; Parks, Basil Oscar"	A record of the Jews in Jamaica from the English conquest to the present times.							1941	3/9/2014 19:35	12/8/2014 17:32													Jamaica times Ltd.	"Kingston, Jamaica"	English					Open WorldCat		jp_cite_00042																																																			
I3HZKADD	journalArticle	1929	"Andrews, Benjamin R."	The Home Woman as Buyer and Controller of Consumption	Annals of the American Academy of Political and Social Science				http://www.jstor.org/stable/1017185		1-May-29	2/24/2014 19:07	12/8/2014 17:44	2/24/2014 19:07	41-48			143		Annals of the American Academy of Political and Social Science									Copyright © 1929 American Academy of Political and Social Science				JSTOR		jp_cite_00043		C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\G4MKBG49\Andrews - 1929 - The Home Woman as Buyer and Controller of Consumpt.pdf; C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\SUMZW4IX\Andrews - 1929 - The Home Woman as Buyer and Controller of Consumpt.pdf																																																	
FXABB2SG	book	1978	"Angel, Marc"	The Jews of Rhodes: the history of a Sephardic community		0872030725 9780872030725					1978	3/9/2014 19:42	12/8/2014 17:50								The Jews of Rhodes					Sepher-Hermon Press	New York	English					Open WorldCat		jp_cite_00044																																																			
H5MZAWU4	journalArticle	1976	"Applebaum, Phillip"	"The Jews of Iosco County, Michigan"	Michigan Jewish History		5439833			"Describes the settlement patterns of the Eastern European Jews, generally merchants and tailors, from 1866 to 1975."	1976-01	2/24/2014 19:09	12/8/2014 18:18		18-38		1	16		Michigan Jewish History													EBSCOhost		jp_cite_00045			http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=46027756&site=ehost-live&scope=cite																																																
9Q39ZFAI	journalArticle	1981	"Applebaum, Phillip"	"The Jews of Luce County, Michigan"	Michigan Jewish History		5439833			"History of Luce County in Michigan's upper peninsula beginning in the late 1870's when the lumber industry started, focusing on the Jews, including members of the Rosenthal, Newmark, and Sheer families, who began arriving in the county's Tahquamenon Valley in the 1880's when lumber was thriving until the early 1920's."	1981-01	2/24/2014 19:09	12/8/2014 18:18		9-Mar		1	21		Michigan Jewish History													EBSCOhost		jp_cite_00046			http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=45960797&site=ehost-live&scope=cite																																																
S4Q4CZIV	book	2002	"Arbell, Mordehay"	The Jewish nation of the Caribbean: the Spanish-Portuguese Jewish settlements in the Caribbean and the Guianas		9652292796  9789652292797					2002	3/9/2014 19:43	12/8/2014 18:19								The Jewish nation of the Caribbean					Gefen Pub.	"Jerusalem, Israel; New York"	English					Open WorldCat		jp_cite_00047																																																			
35DANPX3	book	1975	"Arkin, Marcus"	Aspects of Jewish economic history		0827600674 9780827600676					1975	3/9/2014 19:54	12/8/2014 18:26													Jewish Publication Society of America	Philadelphia	English					Open WorldCat		jp_cite_00048																																																			
WBU2VVHI	journalArticle	1956	"Arkin, Marcus"	The Jewish Share in South African Economic Development	South African Journal of Economics		1813-6982	10.1111/j.1813-6982.1956.tb01729.x	http://onlinelibrary.wiley.com/doi/10.1111/j.1813-6982.1956.tb01729.x/abstract		1956	3/9/2014 20:07	12/8/2014 19:25	3/9/2014 20:07	135–143		2	24										en					Wiley Online Library		jp_cite_00049		C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\M9N9IKII\Arkin - 1956 - The Jewish Share in South African Economic Develop.pdf; C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\48R3DW5I\abstract.html																																																	
ESUFU4F5	bookSection	1984	"Cohen, Stephen"	Historical Background	South African Jewry: a contemporary survey	0195703650 9780195703658				"Chapter seven by Ronnie mink focuses on ""education"". it provides a survey of the development of Jewish education in South Africa beginning in 1916, when the issue was first addressed on a communal level.The South African Board of Jewish education came into being in 1945, mandated to deal with basic problems still existing today and particularly to co-ordinate jewish educational efforts in South Africa. the chapter provides a fine overview of day schools, curricula, staffing and funding."	1984	3/9/2014 20:08	12/17/2014 16:16													Oxford University Press	Cape Town; New York	English					Open WorldCat		jp_cite_00050						"Arkin, Marcus"																																													
CJQW3EZD	journalArticle	2001	"Arkin, Marcus"	In the Footsteps of Nathaniel Isaacs: A Bird's-Eye View of the Economic History of the KwaZulu-Natal Jewry	Jewish Affairs						2001	3/9/2014 20:16	2/2/2015 19:13				3	56										English							jp_cite_00051																																																			
4SD9M7SE	journalArticle	1985	"Arkin, Antony"	The Contribution of South African Jewry to Contemporary South African Economic Life	Jewish Affairs						1985	3/9/2014 20:19	12/8/2014 20:38				1	40																	jp_cite_00052																																																			
FV2DWKU6	journalArticle	1968	"Arnold, Abraham"	The Contribution of the Jews to the Opening and Development of the West	MHS Transactions				http://www.mhs.mb.ca/docs/transactions/3/jewsandwest.shtml		1968-1969	3/9/2014 20:51	12/8/2014 20:57				25	3																	jp_cite_00053																																																			
HWVE8Z3V	journalArticle	1974	"Arnold, A. J."	The Earliest Jews in Winnipeg 1874-1882	Beaver		57517			"Describes the settlement of Russian Jews in Winnipeg. Disappointed at first because most failed to receive land grants or find employment, many eventually moved out of the city to find or create employment opportunities. For those who stayed, the city offered closer ties with Jewish cultural institutions. 11 illus."	Jun-74	3/9/2014 21:02	12/8/2014 21:15		11-Apr		2	305		Beaver													EBSCOhost		jp_cite_00054			http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=45983546&site=ehost-live&scope=cite																																																
GN3S2FT5	webpage		"Arnon, Sara Miller; Miller-Soros, Julie"	The History of Levine’s: The Store for Men and Boys	Colby's Maine Jewish History Porject				http://web.colby.edu/jewsinmaine/kennebec/levines/			3/9/2014 21:03	12/8/2014 21:17	3/9/2014 21:03																					jp_cite_00055		C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\HI8RSBVX\levines.html																																																	
AFP5UAJ5	document	2009	"Bloom, Eric"	"The History of the Family, from Vilna to Waterville"							2009-07	12/8/2014 21:42	12/8/2014 21:55																						jp_cite_00056																																																			
6QUMK46N	journalArticle	1991	"Ashkenazi, Elliott"	Jewish Commercial Interests Between North and South: The Case of the Lehmans and Seligmans	American Jewish Archives						1991	3/9/2014 21:27	12/8/2014 22:25					43																	jp_cite_00057																																																			
NQT3INJ5	book	1988	"Ashkenazi, Elliott"	"The business of Jews in Louisiana, 1840-1875"		0585096988  9780585096988			http://search.ebscohost.com/login.aspx?direct=true&scope=site&db=nlebk&db=nlabk&AN=20244		1988	2/24/2014 19:19	12/8/2014 22:44	2/24/2014 19:19												University of Alabama Press	Tuscaloosa	English					Open WorldCat		jp_cite_00058																																																			
K2G9WZCS	bookSection	2003	"Kucinski, Meir"	The Mulata	Yiddish south of the border: an anthology of Latin American Yiddish writing	0826323480 9780826323484					2003	12/9/2014 15:46	12/9/2014 15:50													University of New Mexico Press	Albuquerque	English					Open WorldCat		jp_cite_00059						"Astro, Alan"																																													
PWV5EFR2	bookSection	2003	"Goldchain, Jose"	He Worked His Way Up	Yiddish south of the border: an anthology of Latin American Yiddish writing	0826323480 9780826323484					2003	12/9/2014 15:54	12/9/2014 15:54													University of New Mexico Press	Albuquerque	English					Open WorldCat		jp_cite_00060						"Astro, Alan"																																													
HPQH7PQJ	bookSection	2003	"Vital, Noyekh"	Gold	Yiddish south of the border: an anthology of Latin American Yiddish writing	0826323480 9780826323484					2003	12/9/2014 16:06	12/9/2014 16:07													University of New Mexico Press	Albuquerque	English					Open WorldCat		jp_cite_00061						"Astro, Alan"																																													
2WH4KKU4	bookSection	2003	"Berniker, Pinkhes"	Jesus	Yiddish south of the border: an anthology of Latin American Yiddish writing	0826323480 9780826323484					2003	12/9/2014 16:24	12/9/2014 16:25													University of New Mexico Press	Albuquerque	English					Open WorldCat		jp_cite_00062						"Astro, Alan"																																													
IK2F5EVM	bookSection	2003	"Gurwitz, Alexander Ziskind"	"San Antonio, Twenty-Two Years Ago"	Yiddish south of the border: an anthology of Latin American Yiddish writing	0826323480 9780826323484					2003	12/9/2014 16:32	12/9/2014 16:33													University of New Mexico Press	Albuquerque	English					Open WorldCat		jp_cite_00063						"Astro, Alan"																																													
IC9QVITM	book	1971	"Atherton, Lewis Eldon"	"The frontier merchant in Mid-America,"		0826205305 9780826205308					1971	3/9/2014 21:33	12/9/2014 16:50													University of Missouri Press	"[Columbia, Mo."	English					Open WorldCat		jp_cite_00064																																																			
MTI8CXWZ	journalArticle	1939	"Atherton, Lewis E."	The Pioneer Merchant in Mid-America	University of Missouri Studies						4/1/1939	3/9/2014 21:35	12/9/2014 16:52				2	14																	jp_cite_00065																																																			
J3JW6KIE	journalArticle	1945	"Atherton, Lewis E."	Itinerant Merchandising in the Ante-Bellum South	Bulletin of the Business Historical Society			10.2307/3110682	http://www.jstor.org/stable/3110682		1-Apr-45	2/24/2014 19:22	12/9/2014 17:00	2/24/2014 19:22	35-59		2	19		Bulletin of the Business Historical Society									Copyright © 1945 The President and Fellows of Harvard College				JSTOR		jp_cite_00066		C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\PVHP8TQ2\Atherton - 1945 - Itinerant Merchandising in the Ante-Bellum South.pdf																																																	
4BHAJHTJ	book	1991	"Avni, Haim"	Argentina & the Jews: a history of Jewish immigration		0817305548  9780817305543					1991	3/9/2014 21:40	12/9/2014 20:35								Argentina & the Jews					University of Alabama Press	Tuscaloosa	English					Open WorldCat		jp_cite_00067																																																			
FKB36K78	newspaperArticle	1895	BAB	"THE RUSSIAN JEW: VERSATILE ""BAB"" VISITS RUSSIAN JERUSALEM"	Los Angeles Times (1886-1922)				http://search.proquest.com/docview/163757506/abstract/CAA8F68B4BFC4BE0PQ/1?accountid=12768	"TUE RUSSIAN JEW.: VERSATILE ""BAB"" VISITS RUSSIAN JERUSALEM. Studies the Habits and Home Life of This Powerful Class--Eager to Become American Citizens. Enjoying Our Freedom--The celebration of the Feast of the Tabernacles. The Delights of Jewish Cooking--The Hebrew Mother and Her First-born--Lore of the Most Learned Peddlers. Popular Books, Odd Photographs and Curious Trinkets in Their Bookshops--Sad-Faced Women With Hidcous Wigs--Games of Jewish Children--Prayer Shawls and Shrouds--An Atonement Day Bath Joke--Beggars Unknown in Russian Jerusalem--A Glass of ""Shrub""--Bab's Collection of Jewish Curios--The Beautiful Israelitish Prayer. THE JEWISH-SABBATH. WISDOM AMONG JEWS. PROTOGRAPHS OF WONDERFUL FACES. CUSTOMS OF JEWISH WOMEN. MERRY CHILDREN ABOUND. NEVER AN OLD MAID AFFECTION FOR KINDRED. THEIR GREAT PERSEVERANCE. HE DESERVES RECOGNITION. LORD BEACONSFIELD."	1895-10-20	3/24/2014 18:32	12/9/2014 17:28	3/24/2014 18:32	29						THE RUSSIAN JEW.						"Los Angeles, Calif., United States"	English	"Copyright Times Mirror Company Oct 20, 1895"				ProQuest		jp_cite_00068		C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\KP2I2JPH\BAB - 1895 - TUE RUSSIAN JEW. VERSATILE BAB VISITS RUSSIAN J.pdf; C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\T5N7NX5P\1.html																																																	
